RefDes,Side,LocationX (Mil),LocationY (Mil),Rotation,Package,Value
R2,bottom,-139.76377952755905,359.25200787401576,0,0603,4.7k
C1,bottom,158.41740157480314,185.5078346456693,90,0603,1 uF
C1,bottom,431.1023622047244,27.755866141732284,90,EIA7343,100uF
J8,bottom,0.984251968503937,-394.68503937007875,180,HEADER 6,
R3,bottom,-352.86614173228344,210.62992125984252,90,0603,4.7k
R1,bottom,-346.45669291338584,-138.7795275590551,90,0603-RES,10k
SJ1,bottom,-320.86614173228344,359.251968503937,180,SJ_3_PASTE1&2&3,
C2,bottom,-78.9251968503937,206.69291338582678,270,0603,1 uF
U1,top,0.0,0.0,0,APDS-9960,
SJ2,bottom,251.96850393700788,370.47248031496065,0,SJ_2S,
